"","routing_number","telegraphic_name","customer_name","state_or_territory_abbreviation","city","funds_transfer_status:
				y_-_eligible
				n_-_ineligible","funds_settlement-only_status:
				s_-_settlement-only","book-entry_securities_transfer_status:
				y_-_eligible
				n_-_ineligible","date_of_last_revision:_yyyymmdd,_or_blank"
"629","021114483","BANK OF NEW CANAAN","BANKWELL BANK                       ","CT","NEW CANAAN               ","Y"," ","N","20131011"
"630","021114661","RBS               ","THE RBS PLC CT BRANCH               ","CT","GREENWICH                ","Y","S","N","20130607"
"631","021200957","TD BANK, NA       ","TD BANK, NA                         ","NJ","CHERRY HILL              ","Y"," ","N","20091110"
"632","021201383","VALLEY PASSAIC    ","VALLEY NATIONAL BANK                ","NJ","PASSAIC                  ","Y"," ","Y","        "
"633","021201503","TD BANK, NA       ","TD BANK, NA                         ","ME","LEWISTON                 ","Y"," ","N","20131004"
"634","021201639","CITY OF NJ NEWARK ","CITY NATIONAL BANK OF NEW JERSEY    ","NJ","NEWARK                   ","Y"," ","Y","        "
"635","021202719","BK OF NY NA NCD   ","JPMORGAN CHASE BANK, NA             ","NJ","CARLSTADT                ","N"," ","Y","20141107"
"636","021203792","NATL BRANCHVILLE  ","LAKELAND BANK                       ","NJ","BRANCHVILLE              ","N"," ","Y","20151109"
"637","021204416","AMBOY OLD BRIDGE  ","AMBOY BANK                          ","NJ","OLD BRIDGE               ","Y"," ","Y","20121213"
"638","021204597","FIRST HOPE        ","FIRST HOPE BANK                     ","NJ","HOPE                     ","Y"," ","Y","        "
"639","021205237","PEAPACK GLADSTONE ","PEAPACK-GLADSTONE BANK              ","NJ","GLADSTONE                ","Y"," ","Y","20121213"
"640","021205376","LAKELAND BANK NJ  ","LAKELAND BANK                       ","NJ","NEWFOUNDLAND             ","Y"," ","Y","20151014"
"641","021205648","CENTER UNION      ","CONNECTONE BANK                     ","NJ","ENGLEWOOD CLIFFS         ","Y"," ","N","20140903"
"642","021206249","SUSSEX BANK       ","SUSSEX BANK                         ","NJ","FRANKLIN                 ","Y"," ","Y","20090922"
"643","021206582","ATLTC STDSHP BK NJ","ATLANTIC STEWARDSHIP BANK           ","NJ","MIDLAND PARK             ","Y"," ","Y","        "
"644","021206948","BRUNSWICK BTNJ    ","BRUNSWICK BANK & TRUST COMPANY      ","NJ","NEW BRUNSWICK            ","Y"," ","Y","        "
"645","021207154","1STCONSTITUTIONBK ","1ST CONSTITUTION BANK               ","NJ","CRANBURY                 ","Y"," ","Y","20060831"
"646","021207196","COMMUNITY MAYWOOD ","COMMUNITY BANK OF BERGEN COUNTY     ","NJ","ROCHELLE PARK            ","Y"," ","Y","        "
"647","021210057","UNITY BANK NJ     ","UNITY BANK                          ","NJ","CLINTON                  ","Y"," ","Y","20040114"
"648","021213180","KEARNY BANK NJ    ","KEARNY BANK                         ","NJ","FAIRFIELD                ","Y"," ","N","20150324"
"649","021213371","NEW MILLENNIUM BK ","NEW MILLENNIUM BANK                 ","NJ","NEW BRUNSWICK            ","Y"," ","Y","20130620"
"650","021213397","PROVIDENT BANK    ","STERLING NATIONAL BANK              ","NJ","LODI                     ","Y"," ","N","20150916"
"651","021213449","INVESTORS SB      ","INVESTORS BANK                      ","NJ","NEWARK                   ","Y"," ","N","20120611"
"652","021213465","TWO RIVER COMMBK  ","TWO RIVER COMMUNITY BANK            ","NJ","MIDDLETOWN               ","Y"," ","Y","20030812"
"653","021213481","BCB COMMUNITY BANK","BCB COMMUNITY BANK                  ","NJ","SOUTH ORANGE             ","Y"," ","N","20120323"
"654","021213520","BCB COMMUNITY BANK","BCB COMMUNITY BANK                  ","NJ","BAYONNE                  ","Y","S","Y","20110617"
"655","021213559","MARINERBK         ","MARINER'S BANK                      ","NJ","EDGEWATER                ","Y"," ","Y","20110420"
"656","021213591","SYNCHRONY BANK    ","SYNCHRONY BANK                      ","UT","DRAPER                   ","Y"," ","N","20140625"
"657","021213698","PASCACK COMM BK   ","PASCACK COMMUNITY BANK              ","NJ","WESTWOOD                 ","Y","S","Y","20091026"
"658","021213711","ENTERPRISE BANK   ","ENTERPRISE NATIONAL BANK, N.J.      ","NJ","KENILWORTH               ","Y"," ","N","20060124"
"659","021213818","ATLANTIC COMMUNITY","ATLANTIC COMMUNITY BANKERS BANK     ","PA","CAMP HILL                ","Y"," ","N","20130814"
"660","021213944","CONNECTONE BANK   ","CONNECTONE BANK                     ","NJ","ENGLEWOOD CLIFFS         ","Y"," ","Y","20130211"
"661","021214066","INDUS AMERICAN BK ","INDUS AMERICAN BANK                 ","NJ","ISELIN                   ","Y"," ","N","20061130"
"662","021214082","FIRST COMMERCE BK ","FIRST COMMERCE BANK                 ","NJ","LAKEWOOD                 ","Y"," ","N","20130301"
"663","021214095","HIGHLANDS ST BANK ","HIGHLANDS STATE BANK                ","NJ","VERNON                   ","Y"," ","N","20080424"
"664","021214189","BANK OF NEW JERSEY","BANK OF NEW JERSEY                  ","NJ","FORT LEE                 ","Y"," ","N","20070201"
"665","021214273","CROSS RIVER BK    ","CROSS RIVER BANK                    ","NJ","TEANECK                  ","Y"," ","N","20130215"
"666","021214325","WILSHIRE BANK     ","WILSHIRE BANK                       ","CA","LOS ANGELES              ","Y"," ","N","20131226"
"667","021214435","REGAL BANK        ","REGAL BANK                          ","NJ","LIVINGSTON               ","Y"," ","N","20080117"
"668","021214493","FREEDOM BANK      ","FREEDOM BANK                        ","NJ","MAYWOOD                  ","Y"," ","Y","20131231"
"669","021272655","CITIBANK FSB NJ   ","CITIBANK, N.A.                      ","NJ","PARSIPPANY               ","Y"," ","N","20120622"
"670","021272723","WASH MUT BANK     ","JPMORGAN CHASE BANK, NA             ","NY","VALLEY STREAM            ","Y"," ","N","20101019"
"671","021272778","MS PRIVATE BANK   ","MORGAN STANLEY PRIVATE BANK NA      ","NY","PURCHASE                 ","Y"," ","Y","20100708"
"672","021300077","KEYBANK ALBANY    ","KEYBANK NATIONAL ASSOCIATION        ","NY","ALBANY                   ","Y"," ","N","20140304"
"673","021300912","TRUSTCO BANK      ","TRUSTCO BANK                        ","NY","GLENVILLE                ","Y"," ","Y","20021115"
"674","021301115","CHEMUNG ELMIRA    ","CHEMUNG CANAL TRUST COMPANY         ","NY","ELMIRA                   ","Y"," ","Y","        "
"675","021302554","GLENS FALLS NB TR ","GLENS FALLS NAT'L BANK & TRUST      ","NY","GLENS FALLS              ","Y"," ","Y","        "
"676","021302567","TD BANK, NA       ","TD BANK, NA                         ","VT","WILLISTON                ","Y"," ","N","20141107"
"677","021302648","TOMPKINS ITHACA   ","TOMPKINS TRUST COMPANY              ","NY","ITHACA                   ","Y"," ","Y","20010504"
"678","021302884","TRUST SARATOGA SPG","ADIRONDACK TRUST COMPANY            ","NY","SARATOGA SPRINGS         ","Y"," ","Y","        "
"679","021303472","COMMUNITY BK SYR  ","COMMUNITY BANK, NA                  ","NY","ONEONTA                  ","Y"," ","N","20121213"
"680","021303511","NATL NORWICH      ","NBT NATIONAL ASSOCIATION            ","NY","SYRACUSE                 ","Y"," ","N","20130626"
"681","021303618","NATL NORWICH      ","NBT NATIONAL ASSOCIATION            ","NY","WHITNEY POINT            ","Y"," ","Y","20110422"
"682","021304675","NATL BALLSTON SPA ","BALLSTON SPA NATIONAL BANK          ","NY","BALLSTON SPA             ","Y"," ","Y","        "
"683","021305386","COMMUNITY BK SYR  ","COMMUNITY BANK, NA                  ","NY","SYRACUSE                 ","Y"," ","Y","20120611"
"684","021305577","NATL NORWICH      ","NBT NATIONAL ASSOCIATION            ","NY","CANAJOHARIE              ","Y"," ","N","20141107"
"685","021305991","FIRST GROTON      ","FIRST NATIONAL BANK OF GROTON       ","NY","GROTON                   ","Y"," ","Y","        "
"686","021306547","CAYUGA UNION SPGS ","CAYUGA LAKE NATIONAL BANK           ","NY","UNION SPRINGS            ","Y"," ","Y","        "
"687","021307054","NATL COXSACKIE    ","NATIONAL BANK OF COXSACKIE          ","NY","COXSACKIE                ","Y"," ","Y","        "
"688","021307096","DELAWARE DELHI    ","DELAWARE NATIONAL BANK OF DELHI     ","NY","DELHI                    ","Y"," ","Y","        "
"689","021307164","FIRST DRYDEN      ","FIRST NATIONAL BANK OF DRYDEN       ","NY","DRYDEN                   ","Y"," ","Y","        "
"690","021307559","COMMUNITY BK DEW  ","COMMUNITY BANK, NA                  ","NY","SYRACUSE                 ","Y"," ","N","20121213"
"691","021307711","NATL KINDERHOOK   ","NATIONAL UNION BANK OF KINDERHOOK   ","NY","KINDERHOOK               ","Y"," ","Y","        "
"692","021308396","BK OF RICHMONDVILL","BANK OF RICHMONDVILLE               ","NY","COBLESKILL               ","Y"," ","Y","        "
"693","021308642","TIOGA SPENCER     ","TIOGA STATE BANK                    ","NY","SPENCER                  ","Y"," ","Y","        "
"694","021308833","DELAWARE WALTON   ","NATIONAL BANK OF DELAWARE CTY.      ","NY","WALTON                   ","Y"," ","Y","        "
"695","021309201","CITIZENS HAMMOND  ","CITIZENS NATIONAL BANK              ","NY","HAMMOND                  ","Y"," ","Y","        "
"696","021309285","WSB MUNICIPAL BANK","WSB MUNICIPAL BANK                  ","NY","WATERTOWN                ","Y"," ","N","20151006"
"697","021309735","BK SOLVAY         ","SOLVAY BANK                         ","NY","SOLVAY                   ","Y"," ","Y","        "
"698","021309997","CITIZENS BK CV    ","CITIZENS BANK OF CAPE VINCENT       ","NY","CAPE VINCENT             ","Y","S","N","20100127"
"699","021310407","CHAMPLAIN WILSBORO","CHAMPLAIN NATIONAL BANK             ","NY","WILLSBORO                ","Y"," ","Y","        "
"700","021310465","UPSTATE NATL      ","THE UPSTATE NATIONAL BANK           ","NY","LISBON                   ","Y"," ","Y","20060518"
"701","021310591","STATE CHITTENANGO ","STATE BANK OF CHITTENANGO           ","NY","CHITTENANGO              ","Y"," ","N","20150417"
"702","021310711","FIRST BK SCOTIA   ","FIRST NATIONAL BANK OF SCOTIA       ","NY","SCOTIA                   ","Y"," ","Y","        "
"703","021311383","BK UTICA          ","BANK OF UTICA                       ","NY","UTICA                    ","Y"," ","Y","        "
"704","021311529","SARATOGA NATL B&TC","SARATOGA NATIONAL BK & T/C          ","NY","SARATOGA SPRINGS         ","Y"," ","N","20070830"
"705","021313103","RBS CITIZENS, N.A.","CITIZENS BANK, NATIONAL ASSOCIATION ","NY","ALBANY                   ","Y"," ","N","20140812"
"706","021313734","PATHFINDER COMM BK","PATHFINDER COMMERCIAL BANK          ","NY","OSWEGO                   ","Y"," ","N","20030410"
"707","021313925","PIONEER COMM BK   ","PIONEER COMMERCIAL BANK             ","NY","TROY                     ","Y"," ","N","20050210"
"708","021373059","PATRIOT FED BK    ","PATRIOT FEDERAL BANK                ","NY","CANAJOHARIE              ","Y","S","N","20090827"
"709","021405464","SUFFOLK RIVERHEAD ","SUFFOLK COUNTY NATIONAL BANK        ","NY","RIVERHEAD                ","Y"," ","Y","        "
"710","021406667","NATL BRIDGEHAMPTON","BRIDGEHAMPTON NATIONAL BANK         ","NY","BRIDGEHAMPTON            ","Y"," ","Y","        "
"711","021407912","CAPITAL ONE NA    ","CAPITAL ONE, NA                     ","NY","MELVILLE                 ","Y"," ","N","20150820"
"712","021408597","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"713","021411335","FIRST GLEN HEAD   ","FIRST NATIONAL BANK OF LONG ISLAND  ","NY","GLEN HEAD                ","Y"," ","Y","        "
"714","021412114","NYCX              ","NEW YORK COMMERCIAL BANK            ","NY","WESTBURY                 ","Y"," ","Y","20140916"
"715","021413155","NATL BRIDGEHAMPTON","BRIDGEHAMPTON NATIONAL BANK         ","NY","SOUTHAMPTON              ","Y"," ","N","20140312"
"716","021413388","AMER COMMUNITY BK ","AMERICAN COMMUNITY BANK             ","NY","GLEN COVE                ","Y"," ","N","20000105"
"717","021413935","NATL BRIDGEHAMPTON","BRIDGEHAMPTON NATIONAL BANK         ","NY","BRIDGEHAMPTON            ","Y"," ","N","20150619"
"718","021414280","NATL BRIDGEHAMPTON","BRIDGEHAMPTON NATIONAL BANK         ","NY","BRIDGEHAMPTON            ","Y"," ","N","20140214"
"719","021414426","EMPIRE NATL BANK  ","EMPIRE NATIONAL BANK                ","NY","ISLANDIA                 ","Y"," ","Y","20151103"
"720","021414455","GOLD COAST BANK   ","GOLD COAST BANK                     ","NY","ISLANDIA                 ","Y"," ","Y","20140210"
"721","021473030","QUONTIC BANK      ","QUONTIC BANK                        ","NY","GREAT NECK               ","Y"," ","Y","20100803"
"722","021484524","AM BR EMPL FCU    ","AMERICAN BROADCAST EMPL FCU         ","NY","ROCKVILLE CENTRE         ","Y"," ","N","20130118"
"723","021502011","BANCO POPULAR PR  ","BANCO POPULAR DE PUERTO RICO        ","PR","SAN JUAN                 ","Y"," ","Y","        "
"724","021502118","GOVERNMENT DEV PR ","GOVERNMENT DEVELOPMENT BANK P.R.    ","PR","SAN JUAN                 ","Y"," ","Y","20140617"
"725","021502150","CARACAS INT'L     ","CARACAS INTERNATIONAL BANKING CORP  ","PR","SAN JUAN                 ","Y"," ","Y","20130422"
"726","021502189","FACE BANK         ","FACE BANK INTERNATIONAL CORPORATION ","PR","GUAYNABO                 ","Y"," ","Y","20130426"
"727","021502202","BBO INT'L PRIV BK ","BBO INTERNATIONAL PRIVATE BANK      ","PR","SAN JUAN                 ","Y"," ","N","20070906"
"728","021502215","ITALBANK          ","ITALBANK INTERNATIONAL, INC.        ","PR","SAN JUAN                 ","Y"," ","N","20150223"
"729","021502228","ORIENTAL BANK     ","ORIENTAL BANK                       ","PR","SAN JUAN                 ","Y"," ","N","20131211"
"730","021502231","BANCREDITO        ","BANCREDITO INT'L BANK CORP.         ","PR","SAN JUAN                 ","Y"," ","N","20111107"
"731","021502257","ARCA INTL BANK    ","ARCA INTERNATIONAL BANK, INC.       ","PR","SAN JUAN                 ","Y"," ","N","20150723"
"732","021502260","NODUS INTL BANK   ","NODUS INTERNATIONAL BANK, INC       ","PR","SAN JUAN                 ","Y","S","Y","20131114"
"733","021502286","BANCO SAN JUAN    ","BANCO SAN JUAN INTERNACIONAL INC    ","PR","SAN JUAN                 ","Y"," ","Y","20130514"
"734","021502309","ACTIVOINTERBANK   ","ACTIVO INTERNATIONAL BANK, INC.     ","  ","                         ","Y"," ","N","20141107"
"735","021502325","ELITE             ","ELITE INTERNATIONAL BANK, INC       ","PR","SAN JUAN                 ","Y"," ","N","20150304"
"736","021502341","BANCO SANTANDER PR","BANCO SANTANDER,  PUERTO RICO       ","PR","SAN JUAN                 ","Y"," ","Y","20000315"
"737","021502383","BCO COOPERATIVO PR","BANCO COOPERATIVO DE PUERTO RICO    ","PR","SAN JUAN                 ","Y"," ","Y","        "
"738","021502396","ANDCAPITAL BANK   ","ANDCAPITAL BANK INTERNATIONAL CORP. ","PR","SAN JUAN                 ","Y"," ","N","20150416"
"739","021502804","SCOTIABANK PR     ","SCOTIABANK DE PUERTO RICO           ","PR","SAN JUAN                 ","Y","S","Y","20120224"
"740","021606690","BK ST CROIX       ","BANK OF ST. CROIX                   ","VI","ST CROIX                 ","Y"," ","Y","20100728"
"741","021800195","VEN DMK DIS PC    ","VENEZUELA DMK DIS SERIES/FUNDS      ","  ","                         ","N"," ","Y","20151109"
"742","021800205","VEN DMK PAR PC    ","VENEZUELA DMK PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"743","021800221","VEN FFF PAR PC    ","VENEZUELA FFF PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"744","021800247","VEN LRA PAR PC    ","VENEZUELA LRA PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"745","021800263","VEN SSF PAR PC    ","VENEZUELA SSF PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"746","021800292","VEN DMK DIS IC    ","VENEZUELA DMK DIS SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"747","021800302","VEN DMK PAR IC    ","VENEZUELA DMK PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"748","021800328","VEN FFF PAR IC    ","VENEZUELA FFF PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"749","021800344","VEN LRA PAR IC    ","VENEZUELA LRA PAR SERIES/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"750","021800467","URU USD FRN A PC  ","URUGUAY USD FRN SERIES A/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"751","021800470","URU USD FRN B PC  ","URUGUAY USD FRN SERIES B/FOREIGN    ","  ","                         ","N"," ","Y","20151109"
"752","021902475","ORANGE MIDDLETOWN ","ORANGE COUNTY TRUST COMPANY         ","NY","MIDDLETOWN               ","Y"," ","Y","        "
"753","021906808","PUTNAM CARMEL     ","PUTNAM COUNTY NATIONAL BANK         ","NY","CARMEL                   ","Y"," ","Y","        "
"754","021907975","BK MILLBROOK      ","BANK OF MILLBROOK                   ","NY","MILLBROOK                ","Y"," ","Y","        "
"755","021909300","HUDSON YONKERS    ","STERLING NATIONAL BANK              ","NY","MONTEBELLO               ","Y"," ","Y","20150701"
"756","021909342","JEFF BANK         ","JEFF BANK                           ","NY","JEFFERSONVILLE           ","Y"," ","Y","20130605"
"757","021911343","SALISBURY LAKEVLLE","SALISBURY BANK & TRUST CO.          ","CT","LAKEVILLE                ","Y"," ","N","20150107"
"758","021911369","COUNTRY BANK      ","COUNTRY BANK                        ","NY","NEW YORK                 ","Y"," ","N","20131105"
"759","021911398","MAHOPAC BK        ","MAHOPAC BANK                        ","NY","MAHOPAC                  ","Y"," ","Y","20140103"
"760","021912410","NATL ELLENVILLE   ","STERLING NATIONAL BANK              ","NY","ELLENVILLE               ","Y"," ","N","20141107"
"761","021912915","TD BANK USA, N.A. ","TD BANK USA, NATIONAL ASSOCIATION   ","NY","NEW YORK                 ","Y"," ","N","20100308"
"762","021912928","CATSKILL HUD BK   ","CATSKILL HUDSON BANK                ","NY","MONTICELLO               ","Y"," ","Y","20110328"
"763","021913639","GREATER HUDSON    ","GREATER HUDSON BANK                 ","NY","MIDDLETOWN               ","Y"," ","N","20150615"
"764","021913862","EMPIRE STATE BANK ","EMPIRE STATE BANK, N.A.             ","NY","NEWBURGH                 ","Y"," ","Y","20081014"
"765","021914078","USA BANK NY       ","CUSTOMERS BANK                      ","NY","PORT CHESTER             ","Y"," ","N","20120321"
"766","021914544","WESTCHESTER BANK  ","THE WESTCHESTER BANK                ","NY","YONKERS                  ","Y"," ","N","20100111"
"767","022000046","MFRS BUF          ","MANUFACTURERS & TRADERS TRUST CO    ","NY","BUFFALO                  ","Y"," ","Y","20151030"
"768","022000868","CITIBANK BUF      ","CITIBANK, N.A.                      ","NY","PITTSFORD                ","Y"," ","N","20141107"
"769","022072692","FIRST NIAGARA     ","FIRST NIAGARA BANK, NA              ","NY","LOCKPORT                 ","Y"," ","N","20141107"
"770","022302786","STEUBEN TR HORNELL","STEUBEN TRUST COMPANY               ","NY","HORNELL                  ","Y"," ","Y","        "
"771","022303659","NATL CANANDAIGUA  ","CANANDAIGUA NAT'L BANK & TR. CO.    ","NY","CANANDAIGUA              ","Y"," ","Y","        "
"772","022304030","FIVE STAR BANK    ","FIVE STAR BANK                      ","NY","WARSAW                   ","Y"," ","Y","20051209"
"773","022304616","NATL LYONS        ","LYONS NATIONAL BANK                 ","NY","LYONS                    ","Y"," ","Y","        "
"774","022305770","BK AKRON          ","BANK OF AKRON                       ","NY","AKRON                    ","Y"," ","Y","        "
"775","022306818","BK CASTILE        ","BANK OF CASTILE                     ","NY","CASTILE                  ","Y"," ","Y","        "
"776","022306847","BANK CATTARAUGUS  ","BANK OF CATTARAUGUS                 ","NY","CATTARAUGUS              ","Y"," ","Y","        "
"777","022307600","BANK HOLLAND      ","BANK OF HOLLAND                     ","NY","HOLLAND                  ","Y"," ","Y","        "
"778","022307820","CATTARAUGUS VALLEY","CATTARAUGUS COUNTY BANK             ","NY","LITTLE VALLEY            ","Y"," ","Y","        "
"779","022309611","STATE ALDEN       ","ALDEN STATE BANK                    ","NY","ALDEN                    ","Y"," ","Y","        "
"780","022310121","EVANS ANGOLA      ","EVANS BANK, NATIONAL ASSOCIATION    ","NY","ANGOLA                   ","Y"," ","Y","20130925"
